id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
893016233416101686,Mid-City Spacious Shotgun | Live Like a Local,349162641,David,,Mid-City,29.963022230135035,-90.09590202336781,Entire home/apt,98,1,12,2024-09-02,0.80,55,194,7,"21-CSTR-19543, 22-OSTR-14687"
38961188,Large 2 br apt in the Treme! Close to everything,5826833,Elena,,Treme - Lafitte,29.96818,-90.07774,Entire home/apt,,60,0,,,1,0,0,
21579496,Discover Frenchmen’s Jazz from a Marigny Triangle Home,1350940,Kay,,Marigny,29.96432,-90.05812,Entire home/apt,169,3,202,2024-08-25,2.44,11,289,27,"22-CSTR-17766, 24-OSTR-03615"
28435858,New Orleans Loft in the Warehouse (Arts) District,19571902,Rick And Renée,,Lower Garden District,29.9423,-90.06897,Entire home/apt,,30,8,2018-11-18,0.11,3,0,0,
968852059501898482,"French Quarter Getaway! Pets Allowed, Outdoor Pool",501999514,RoomPicks,,French Quarter,29.95460054580536,-90.06850848555,Hotel room,399,1,0,,,72,348,0,23-XSTR-12345
554232481953543878,Baronne Street Apt with Private Rooftop Deck,442919525,Hosteeva Luxury Condos,,Central Business District,29.951486587524414,-90.0727767944336,Entire home/apt,700,1,37,2024-03-28,1.28,3,121,13,"22-CSTR-22587, 20-OSTR-00670"
1100679476212298629,"All ensuites, 3BD/3B, ADA Shower, Walk to FQ, Pool",544722946,My NOLA Vacation Rentals,,Central Business District,29.952712971516714,-90.07382275099634,Entire home/apt,279,1,4,2024-07-14,1.11,43,329,4,24-XSTR-05505
28507273,Beautiful Home in Historic Seventh Ward,60807383,Janice,,Seventh Ward,29.97335,-90.0669,Entire home/apt,,2,3,2019-11-12,0.05,1,0,0,"19STR-22519, 19-OSTR-22519"
790060323444793586,Bywater/free parking/full house,354138551,Tracy,,St. Claude,29.964719407720626,-90.0383584558035,Entire home/apt,,30,15,2024-02-15,0.79,2,0,4,Exempt
801446496308070727,Cozy studio in the heart of the city!,64823547,Brenna And Nick,,Central City,29.9425305,-90.0757016,Entire home/apt,36,30,5,2023-12-26,0.27,85,270,2,
39202225,Our Broadmoor Beauty. STR License 17STR-10083,428397,James,,Marlyville - Fontainbleau,29.94602,-90.11152,Entire home/apt,,30,8,2020-03-08,0.13,1,0,0,"17STR-10083, 20-OSTR-00545"
20785813,Bedroom in Bayou St. John,29735765,Elizabeth,,Bayou St. John,29.97173,-90.08889,Private room,,30,0,,,1,0,0,
28540093,HISTORIC - GREENWAY PARK-3 BEDS -PARKING 3 CARS,214269760,Linda,,Tulane - Gravier,29.9654062,-90.0797585,Entire home/apt,,1,78,2023-07-02,1.16,1,0,0,"22-CSTR-20575, 22-OSTR-22242"
660136129526484237,"Amazing 3bedroom townhome, in Historic Dryade City",221154291,Tracy,,Central City,29.93395,-90.08728,Entire home/apt,396,1,57,2024-08-25,2.27,2,57,20,"22-RSTR-12437, 22-OSTR-12822"
791238885386337240,N E W! Midcity Dream Nights!,62774691,Luke,,Mid-City,29.973102571670925,-90.10673988753899,Entire home/apt,,30,1,2022-12-31,0.05,7,0,0,"17STR-13878, 20-Ostr-12713"
38252111,Quaint Cottage In The East.,227505133,Dan,,Little Woods,30.033413,-89.995102,Entire home/apt,,30,24,2022-07-28,0.39,5,0,0,
20655540,Peaceful Uptown Home Near Audubon Park,52367381,MaryClare,,Black Pearl,29.9352,-90.13101,Entire home/apt,,30,16,2017-11-06,0.19,1,0,0,
795779195891746425,"Magical Uptown House
5 beds, 4 bedrooms, sleeps 8",59808595,Dina,,Milan,29.935603283622903,-90.0992574550097,Entire home/apt,,3,3,2024-03-11,0.42,1,237,3,"23-NSTR-14889, 23-OSTR-12889"
